sent_id	token_id	word	tag
1	1	The	DT
1	2	Brent	NNP
1	3	benchmark	NN
1	4	hit	VBD
1	5	its	PRP$
1	6	lowest	JJS
1	7	since	IN
1	8	September	NNP
1	9	8	CD
1	10	in	IN
1	11	the	DT
1	12	previous	JJ
1	13	session	NN
1	14	at	IN
1	15	$	$
1	16	97.36	CD
1	17	.	.
2	1	Iran	NNP
2	2	repeated	VBD
2	3	its	PRP$
2	4	demand	NN
2	5	for	IN
2	6	the	DT
2	7	US	NNP
2	8	to	TO
2	9	end	VB
2	10	its	PRP$
2	11	``	``
2	12	acts	NNS
2	13	of	IN
2	14	aggression	NN
2	15	''	''
2	16	.	.
3	1	Other	JJ
3	2	notable	JJ
3	3	blocks	NNS
3	4	were	VBD
3	5	recorded	VBN
3	6	in	IN
3	7	SIRA.N	NNP
3	8	,	,
3	9	DIPD.N	NNP
3	10	,	,
3	11	TJL.N	NNP
3	12	and	CC
3	13	Softlogic	NNP
3	14	Life	NNP
3	15	.	.
4	1	The	DT
4	2	buying	NN
4	3	interest	NN
4	4	continued	VBD
4	5	to	TO
4	6	dominate	VB
4	7	the	DT
4	8	market	NN
4	9	sentiment	NN
4	10	.	.
5	1	Committee	NN
5	2	members	NNS
5	3	also	RB
5	4	expressed	VBD
5	5	their	PRP$
5	6	views	NNS
5	7	on	IN
5	8	the	DT
5	9	proposed	VBN
5	10	legislation	NN
5	11	.	.
6	1	Under	IN
6	2	the	DT
6	3	earlier	JJR
6	4	methodology	NN
6	5	,	,
6	6	youth	NN
6	7	unemployment	NN
6	8	had	VBD
6	9	reached	VBN
6	10	21.3	CD
6	11	per	IN
6	12	cent	NN
6	13	in	IN
6	14	June	NNP
6	15	2023	CD
6	16	.	.
7	1	New	NNP
7	2	Zealand	NNP
7	3	's	POS
7	4	parliament	NN
7	5	last	JJ
7	6	week	NN
7	7	passed	VBD
7	8	legislation	NN
7	9	needed	VBN
7	10	to	TO
7	11	implement	VB
7	12	the	DT
7	13	agreement	NN
7	14	.	.
8	1	The	DT
8	2	DHS	NNP
8	3	did	VBD
8	4	not	RB
8	5	immediately	RB
8	6	comment	VB
8	7	.	.
9	1	Evoke	NNP
9	2	Labs	NNP
9	3	served	VBD
9	4	as	IN
9	5	IT	NNP
9	6	Partner	NNP
9	7	,	,
9	8	while	IN
9	9	Liyasi	NNP
9	10	TV	NNP
9	11	was	VBD
9	12	the	DT
9	13	Television	NNP
9	14	Partner	NNP
9	15	.	.
10	1	Vidullanka	NNP
10	2	cautioned	VBD
10	3	that	IN
10	4	emerging	VBG
10	5	as	IN
10	6	the	DT
10	7	lowest-cost	JJ
10	8	bidder	NN
10	9	did	VBD
10	10	not	RB
10	11	constitute	VB
10	12	a	DT
10	13	formal	JJ
10	14	contract	NN
10	15	award	NN
10	16	.	.
11	1	The	DT
11	2	bench	NN
11	3	comprised	VBD
11	4	Judges	NNS
11	5	Navaratne	NNP
11	6	Marasinghe	NNP
11	7	,	,
11	8	Ramanathan	NNP
11	9	Kannan	NNP
11	10	and	CC
11	11	Sujeewa	NNP
11	12	Nissanka	NNP
11	13	.	.
12	1	Floods	NNS
12	2	,	,
12	3	cyclones	NNS
12	4	,	,
12	5	landslides	NNS
12	6	,	,
12	7	droughts	NNS
12	8	,	,
12	9	wildfires	NNS
12	10	and	CC
12	11	extreme	JJ
12	12	heat	NN
12	13	seem	VBP
12	14	to	TO
12	15	be	VB
12	16	occurring	VBG
12	17	with	IN
12	18	regularity	NN
12	19	.	.
13	1	The	DT
13	2	Sri	NNP
13	3	Lankan	JJ
13	4	economy	NN
13	5	is	VBZ
13	6	not	RB
13	7	an	DT
13	8	island	NN
13	9	.	.
14	1	Literally	RB
14	2	,	,
14	3	it	PRP
14	4	was	VBD
14	5	one	CD
14	6	of	IN
14	7	the	DT
14	8	earliest	JJS
14	9	works	NNS
14	10	written	VBN
14	11	based	VBN
14	12	on	IN
14	13	firsthand	JJ
14	14	experience	NN
14	15	.	.
15	1	His	PRP$
15	2	position	NN
15	3	was	VBD
15	4	not	RB
15	5	an	DT
15	6	isolated	JJ
15	7	or	CC
15	8	inexplicable	JJ
15	9	claim	NN
15	10	.	.
16	1	However	RB
16	2	,	,
16	3	limiting	VBG
16	4	the	DT
16	5	ban	NN
16	6	to	TO
16	7	government	NN
16	8	institutions	NNS
16	9	alone	RB
16	10	will	MD
16	11	have	VB
16	12	only	RB
16	13	a	DT
16	14	modest	JJ
16	15	impact	NN
16	16	.	.
17	1	Today	NN
17	2	it	PRP
17	3	's	VBZ
17	4	common	JJ
17	5	and	CC
17	6	expensive	JJ
17	7	when	WRB
17	8	it	PRP
17	9	happens	VBZ
17	10	.	.
18	1	The	DT
18	2	platform	NN
18	3	also	RB
18	4	introduces	VBZ
18	5	greater	JJR
18	6	digital	JJ
18	7	convenience	NN
18	8	for	IN
18	9	specific	JJ
18	10	customer	NN
18	11	needs	NNS
18	12	.	.
19	1	The	DT
19	2	latest	JJS
19	3	acceleration	NN
19	4	was	VBD
19	5	particularly	RB
19	6	pronounced	JJ
19	7	in	IN
19	8	food	NN
19	9	.	.
20	1	Notably	RB
20	2	,	,
20	3	the	DT
20	4	Bank	NNP
20	5	's	POS
20	6	`	``
20	7	Trees	NNPS
20	8	for	IN
20	9	Tomorrow	NNP
20	10	'	''
20	11	reforestation	NN
20	12	project	NN
20	13	planted	VBD
20	14	over	IN
20	15	12,500	CD
20	16	trees	NNS
20	17	in	IN
20	18	2025	CD
20	19	.	.
21	1	The	DT
21	2	auction	NN
21	3	offerings	NNS
21	4	totalled	VBD
21	5	5.2	CD
21	6	million	CD
21	7	kilogrammes	NNS
21	8	-LRB-	-LRB-
21	9	M/Kgs	NNS
21	10	-RRB-	-RRB-
21	11	.	.
22	1	Visa	NNP
22	2	supported	VBD
22	3	the	DT
22	4	forum	NN
22	5	as	IN
22	6	Platinum	NNP
22	7	Partner	NNP
22	8	.	.
23	1	The	DT
23	2	mission	NN
23	3	,	,
23	4	which	WDT
23	5	began	VBD
23	6	on	IN
23	7	September	NNP
23	8	10	CD
23	9	,	,
23	10	is	VBZ
23	11	scheduled	VBN
23	12	to	TO
23	13	conclude	VB
23	14	on	IN
23	15	September	NNP
23	16	23	CD
23	17	.	.
24	1	Market	NN
24	2	turnover	NN
24	3	stood	VBD
24	4	at	IN
24	5	LKR	$
24	6	1.33	CD
24	7	billion	CD
24	8	,	,
24	9	with	IN
24	10	55.41	CD
24	11	million	CD
24	12	shares	NNS
24	13	traded	VBN
24	14	.	.
25	1	Brent	NNP
25	2	prices	NNS
25	3	are	VBP
25	4	on	IN
25	5	track	NN
25	6	for	IN
25	7	their	PRP$
25	8	first	JJ
25	9	weekly	JJ
25	10	loss	NN
25	11	in	IN
25	12	three	CD
25	13	,	,
25	14	down	RB
25	15	2	CD
25	16	%	NN
25	17	.	.
26	1	Rather	RB
26	2	than	IN
26	3	holding	VBG
26	4	U.S.	NNP
26	5	Treasuries	NNPS
26	6	,	,
26	7	China	NNP
26	8	is	VBZ
26	9	turning	VBG
26	10	its	PRP$
26	11	attention	NN
26	12	toward	IN
26	13	gold	NN
26	14	and	CC
26	15	emerging	VBG
26	16	industries	NNS
26	17	.	.
27	1	There	EX
27	2	was	VBD
27	3	no	DT
27	4	immediate	JJ
27	5	comment	NN
27	6	from	IN
27	7	Pakistan	NNP
27	8	's	POS
27	9	government	NN
27	10	.	.
28	1	The	DT
28	2	use	NN
28	3	of	IN
28	4	such	JJ
28	5	accounts	NNS
28	6	would	MD
28	7	be	VB
28	8	capped	VBN
28	9	at	IN
28	10	one	CD
28	11	hour	NN
28	12	per	IN
28	13	day	NN
28	14	.	.
29	1	A	DT
29	2	criminal	JJ
29	3	investigation	NN
29	4	can	MD
29	5	survive	VB
29	6	an	DT
29	7	unanswered	JJ
29	8	question	NN
29	9	for	IN
29	10	a	DT
29	11	time	NN
29	12	.	.
30	1	WTI	NNP
30	2	touched	VBD
30	3	its	PRP$
30	4	lowest	JJS
30	5	since	IN
30	6	September	NNP
30	7	1	CD
30	8	earlier	RBR
30	9	on	IN
30	10	Wednesday	NNP
30	11	.	.
31	1	The	DT
31	2	US	NNP
31	3	and	CC
31	4	Israel	NNP
31	5	launched	VBD
31	6	air	NN
31	7	strikes	NNS
31	8	on	IN
31	9	Iran	NNP
31	10	on	IN
31	11	28	CD
31	12	February	NNP
31	13	.	.
32	1	Foreign	JJ
32	2	investors	NNS
32	3	,	,
32	4	however	RB
32	5	,	,
32	6	remained	VBD
32	7	net	JJ
32	8	sellers	NNS
32	9	with	IN
32	10	an	DT
32	11	outflow	NN
32	12	of	IN
32	13	approximately	RB
32	14	LKR	$
32	15	62.10	CD
32	16	million	CD
32	17	.	.
33	1	Nevertheless	RB
33	2	,	,
33	3	the	DT
33	4	yields	NNS
33	5	in	IN
33	6	this	DT
33	7	segment	NN
33	8	remained	VBD
33	9	largely	RB
33	10	stable	JJ
33	11	.	.
34	1	The	DT
34	2	Bills	NNS
34	3	also	RB
34	4	propose	VBP
34	5	measures	NNS
34	6	to	TO
34	7	increase	VB
34	8	judicial	JJ
34	9	capacity	NN
34	10	at	IN
34	11	the	DT
34	12	Provincial	NNP
34	13	High	NNP
34	14	Court	NNP
34	15	level	NN
34	16	.	.
35	1	The	DT
35	2	revised	VBN
35	3	calculation	NN
35	4	excludes	VBZ
35	5	students	NNS
35	6	,	,
35	7	making	VBG
35	8	direct	JJ
35	9	comparisons	NNS
35	10	with	IN
35	11	earlier	JJR
35	12	figures	NNS
35	13	difficult	JJ
35	14	.	.
36	1	Wellington	NNP
36	2	has	VBZ
36	3	also	RB
36	4	agreed	VBN
36	5	to	TO
36	6	invest	VB
36	7	$	$
36	8	20	CD
36	9	billion	CD
36	10	in	IN
36	11	India	NNP
36	12	over	IN
36	13	the	DT
36	14	next	JJ
36	15	15	CD
36	16	years	NNS
36	17	.	.
37	1	The	DT
37	2	Trump	NNP
37	3	administration	NN
37	4	is	VBZ
37	5	expected	VBN
37	6	to	TO
37	7	appeal	VB
37	8	the	DT
37	9	ruling	NN
37	10	.	.
38	1	Vidullanka	NNP
38	2	currently	RB
38	3	has	VBZ
38	4	interests	NNS
38	5	in	IN
38	6	hydropower	NN
38	7	,	,
38	8	solar	JJ
38	9	and	CC
38	10	biomass-based	JJ
38	11	electricity	NN
38	12	generation	NN
38	13	.	.
39	1	Initially	RB
39	2	,	,
39	3	25	CD
39	4	people	NNS
39	5	were	VBD
39	6	charged	VBN
39	7	over	IN
39	8	their	PRP$
39	9	role	NN
39	10	in	IN
39	11	the	DT
39	12	bombings	NNS
39	13	.	.
40	1	The	DT
40	2	central	JJ
40	3	message	NN
40	4	is	VBZ
40	5	brutally	RB
40	6	simple	JJ
40	7	:	:
40	8	nature	NN
40	9	does	VBZ
40	10	not	RB
40	11	need	VB
40	12	us	PRP
40	13	,	,
40	14	but	CC
40	15	we	PRP
40	16	need	VBP
40	17	nature	NN
40	18	.	.
41	1	And	CC
41	2	now	RB
41	3	we	PRP
41	4	are	VBP
41	5	staring	VBG
41	6	at	IN
41	7	economic	JJ
41	8	and	CC
41	9	political	JJ
41	10	developments	NNS
41	11	that	WDT
41	12	signal	VBP
41	13	a	DT
41	14	dangerous	JJ
41	15	world	NN
41	16	.	.
42	1	The	DT
42	2	failure	NN
42	3	of	IN
42	4	his	PRP$
42	5	political	JJ
42	6	gamble	NN
42	7	resulted	VBD
42	8	in	IN
42	9	a	DT
