sent_id,section,sentence,tokens,hmm_oov,pcfg_oov,hmm_accuracy,pcfg_accuracy,pcfg_errors,joint_parsed,joint_logprob,joint_seconds,pipeline_parsed,pipeline_logprob,joint_tree
1,international,The Brent benchmark hit its lowest since September 8 in the previous session at $97.36.,17,1,1,0.9412,1.0,,1,-110.103,0.069,1,-129.768,(TOP (S (NP (DT The) (NNP Brent) (NN benchmark)) (VP (VBD hit) (PP (NP (PRP$ its) (JJS lowest)) (IN since) (NP (NNP September) (CD 8))) (PP (IN in) (NP (NP (DT the) (JJ previous) (NN session)) (PP (IN at) (NP ($ $) (CD 97.36)))))) (. .)))
2,international,"Iran repeated its demand for the US to end its ""acts of aggression"".",16,3,3,0.8125,1.0,,1,-95.053,0.046,0,,(TOP (S (NP (NNP Iran)) (VP (VBD repeated) (NP (NP (PRP$ its) (NN demand)) (PP (IN for) (NP (DT the) (NNP US)))) (S (TO to) (VP (VB end) (S (NP (PRP$ its)) (`` ``) (NP (NP (NNS acts)) (PP (IN of) (NP (NN aggression)))) ('' ''))))) (. .)))
3,breaking-news,"Other notable blocks were recorded in SIRA.N, DIPD.N, TJL.N and Softlogic Life.",15,4,4,0.9333,0.9333,blocks:NNS->VBZ,1,-108.543,0.047,1,-150.471,"(TOP (S (NP (NP (JJ Other)) (ADJP (JJ notable))) (VP (VBZ blocks) (VP (VBD were) (VP (VBN recorded) (PP (IN in) (NP (NAC (NNP SIRA.N) (, ,) (NNP DIPD.N) (, ,)) (NNP TJL.N) (CC and) (NP (NNP Softlogic) (NNP Life))))))) (. .)))"
4,business-news,The buying interest continued to dominate the market sentiment.,10,1,1,1.0,0.9,buying:NN->VBG,1,-54.174,0.018,1,-54.294,(TOP (S (NP (DT The) (VBG buying) (NN interest)) (VP (VBD continued) (S (TO to) (VP (VB dominate) (NP (DT the) (NN market) (NN sentiment))))) (. .)))
5,breaking-news,Committee members also expressed their views on the proposed legislation.,11,0,0,0.9091,0.9091,Committee:NN->NNP,1,-71.367,0.019,1,-71.367,(TOP (S (NP (NNP Committee) (NNS members)) (ADVP (RB also)) (VP (VBD expressed) (NP (PRP$ their) (NNS views)) (PP (IN on) (NP (DT the) (VBN proposed) (NN legislation)))) (. .)))
6,international,"Under the earlier methodology, youth unemployment had reached 21.3 per cent in June 2023.",16,3,3,0.8125,1.0,,1,-103.768,0.07,1,-160.361,"(TOP (S (PP (IN Under) (NP (DT the) (JJR earlier) (NN methodology))) (, ,) (NP (NN youth) (NN unemployment)) (VP (VBD had) (VP (VBN reached) (NP (NP (CD 21.3)) (PP (IN per) (NP (NN cent)))) (PP (IN in) (NP (NNP June) (CD 2023))))) (. .)))"
7,international,New Zealand's parliament last week passed legislation needed to implement the agreement.,14,0,0,0.9286,0.9286,needed:VBN->VBD,1,-98.712,0.047,1,-98.712,(TOP (S (NP (NP (NP (NNP New) (NNP Zealand) (POS 's)) (NN parliament)) (JJ last) (NN week)) (VP (VBD passed) (SBAR (NP (NN legislation)) (VP (VBD needed) (S (TO to) (VP (VB implement) (NP (DT the) (NN agreement))))))) (. .)))
8,international,The DHS did not immediately comment.,7,1,1,0.8571,1.0,,1,-43.437,0.005,1,-43.954,(TOP (S (NP (DT The) (NNP DHS)) (VP (VBD did) (RB not) (ADVP (RB immediately)) (VP (VB comment))) (. .)))
9,business-news,"Evoke Labs served as IT Partner, while Liyasi TV was the Television Partner.",15,5,5,0.6,0.8,as:IN->RB; IT:NNP->PRP; Partner:NNP->JJR,1,-102.059,0.062,1,-221.843,"(TOP (S (NP (NNP Evoke) (NNP Labs)) (VP (VBD served) (RB as) (S (NP (PRP IT)) (ADJP (JJR Partner))) (, ,) (SBAR (IN while) (S (NP (NNP Liyasi) (NNP TV)) (VP (VBD was) (NP (DT the) (NNP Television) (NNP Partner)))))) (. .)))"
10,business-news,Vidullanka cautioned that emerging as the lowest-cost bidder did not constitute a formal contract award.,16,3,3,0.8125,0.9375,constitute:VB->VBP,1,-106.439,0.076,1,-136.586,(TOP (S (NP (NNP Vidullanka)) (VP (VBD cautioned) (PP (IN that) (S (VBG emerging) (SBAR (IN as) (S (NP (DT the) (JJ lowest-cost) (NN bidder)) (VP (VBD did) (RB not) (VP (VBP constitute) (NP (DT a) (JJ formal) (NN contract) (NN award))))))))) (. .)))
11,breaking-news,"The bench comprised Judges Navaratne Marasinghe, Ramanathan Kannan and Sujeewa Nissanka.",13,7,7,0.4615,1.0,,1,-66.939,0.047,1,-225.629,"(TOP (S (NP (DT The) (NN bench)) (VP (VBD comprised) (NP (NNS Judges)) (NP (NP (NNP Navaratne) (NNP Marasinghe)) (, ,) (NP (NNP Ramanathan) (NNP Kannan)) (CC and) (NP (NNP Sujeewa) (NNP Nissanka)))) (. .)))"
12,news-features,"Floods, cyclones, landslides, droughts, wildfires and extreme heat seem to be occurring with regularity.",19,8,8,0.5263,0.8947,landslides:NNS->VBZ; extreme:JJ->NN,1,-94.113,0.102,1,-259.838,"(TOP (S (S (NP (NP (NNS Floods)) (, ,) (NP (NNS cyclones)) (, ,)) (VP (VBZ landslides))) (, ,) (NP (NP (NNS droughts)) (, ,) (NP (NNS wildfires)) (CC and) (NN extreme) (NN heat)) (VP (VBP seem) (S (TO to) (VP (VB be) (VP (VBG occurring) (PP (IN with) (NP (NN regularity))))))) (. .)))"
13,opinion,The Sri Lankan economy is not an island.,9,3,3,0.7778,0.8889,Lankan:JJ->NNP,1,-41.368,0.011,1,-76.436,(TOP (S (NP (DT The) (NNP Sri) (NNP Lankan) (NN economy)) (VP (VBZ is) (RB not) (NP (DT an) (NN island))) (. .)))
14,opinion,"Literally, it was one of the earliest works written based on firsthand experience.",15,2,2,0.8667,1.0,,1,-87.19,0.054,1,-96.843,"(TOP (S (ADVP (RB Literally)) (, ,) (NP (PRP it)) (VP (VBD was) (NP (CD one)) (PP (IN of) (NP (NP (DT the) (JJS earliest) (NNS works)) (VP (VBN written) (PP (VBN based) (PP (IN on) (NP (JJ firsthand) (NN experience)))))))) (. .)))"
15,opinion,His position was not an isolated or inexplicable claim.,10,2,2,0.9,1.0,,1,-64.353,0.01,1,-70.33,(TOP (S (NP (PRP$ His) (NN position)) (VP (VBD was) (RB not) (NP (DT an) (ADJP (JJ isolated) (CC or) (JJ inexplicable)) (NN claim))) (. .)))
16,opinion,"However, limiting the ban to government institutions alone will have only a modest impact.",16,0,0,1.0,1.0,,1,-103.695,0.076,1,-103.695,"(TOP (S (ADVP (RB However)) (, ,) (S (S (VBG limiting) (NP (DT the) (NN ban)) (PP (TO to) (NP (NN government) (NNS institutions)))) (ADVP (RB alone)) (VP (MD will) (VP (VB have) (NP (RB only) (DT a) (JJ modest) (NN impact))))) (. .)))"
17,business-news,Today it’s common and expensive when it happens.,10,0,0,0.9,1.0,,1,-65.589,0.006,1,-81.803,(TOP (S (NP (NN Today)) (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ common) (CC and) (JJ expensive)) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ happens))))) (. .)))
18,business-news,The platform also introduces greater digital convenience for specific customer needs.,12,3,3,0.8333,1.0,,1,-78.526,0.028,1,-152.321,(TOP (S (NP (DT The) (NN platform)) (ADVP (RB also)) (VP (VBZ introduces) (NP (NP (JJR greater) (JJ digital) (NN convenience)) (PP (IN for) (NP (JJ specific) (NN customer) (NNS needs))))) (. .)))
19,business-main,The latest acceleration was particularly pronounced in food.,9,1,1,0.8889,0.8889,pronounced:JJ->VBN,1,-50.829,0.01,1,-50.829,(TOP (S (NP (DT The) (JJS latest) (NN acceleration)) (VP (VBD was) (RB particularly) (VP (VBN pronounced) (PP (IN in) (NP (NN food))))) (. .)))
20,business-news,"Notably, the Bank’s ‘Trees for Tomorrow’ reforestation project planted over 12,500 trees in 2025.",19,6,6,0.6316,0.7895,'s:POS->VBZ; Trees:NNPS->NNS; ':''->POS; planted:VBD->VBN,1,-117.307,0.092,1,-215.698,"(TOP (S (ADVP (RB Notably)) (, ,) (NP (DT the) (NNP Bank)) (VP (VBZ 's) (`` `) (NP (NP (NNS Trees)) (PP (IN for) (NP (NP (NNP Tomorrow) (POS ')) (NN reforestation) (NN project))) (VP (VBN planted) (PP (IN over) (NP (NP (CD 12,500) (NNS trees)) (PP (IN in) (NP (CD 2025)))))))) (. .)))"
21,business-news,The auction offerings totalled 5.2 million kilogrammes (M/Kgs).,11,4,4,0.5455,0.9091,M/Kgs:NNS->NNP,1,-57.901,0.012,0,,(TOP (S (NP (DT The) (NN auction) (NNS offerings)) (VP (VBD totalled) (NP (NP (QP (CD 5.2) (CD million)) (NNS kilogrammes)) (PRN (-LRB- -LRB-) (NP (NNP M/Kgs)) (-RRB- -RRB-)))) (. .)))
22,business,Visa supported the forum as Platinum Partner.,8,2,2,0.75,1.0,,1,-51.532,0.011,1,-105.802,(TOP (S (NP (NNP Visa)) (VP (VBD supported) (NP (NP (DT the) (NN forum)) (PP (IN as) (NP (NNP Platinum) (NNP Partner))))) (. .)))
23,business,"The mission, which began on September 10, is scheduled to conclude on September 23.",17,1,1,1.0,1.0,,1,-88.972,0.055,1,-88.972,"(TOP (S (NP (NP (DT The) (NN mission)) (, ,) (SBAR (WHNP (WDT which)) (S (VBD began) (PP (IN on) (NP (NNP September) (CD 10))))) (, ,)) (VP (VBZ is) (VP (VBN scheduled) (S (TO to) (VP (VB conclude) (PP (IN on) (NP (NNP September) (CD 23))))))) (. .)))"
24,breaking-news,"Market turnover stood at LKR 1.33 billion, with 55.41 million shares traded.",14,3,3,0.7857,0.8571,Market:NN->NNP; LKR:$->TO,1,-92.416,0.038,1,-159.299,"(TOP (S (NP (NNP Market) (NN turnover)) (VP (VBD stood) (NP (IN at) (TO LKR) (CD 1.33) (CD billion)) (, ,) (PP (IN with) (NP (NP (QP (CD 55.41) (CD million)) (NNS shares)) (VP (VBN traded))))) (. .)))"
25,international,"Brent prices are on track for their first weekly loss in three, down 2%.",17,0,0,1.0,0.9412,down:RB->IN,1,-110.957,0.162,1,-111.578,"(TOP (S (NP (NNP Brent) (NNS prices)) (VP (VBP are) (PP (IN on) (NP (NP (NN track)) (PP (IN for) (NP (PRP$ their) (JJ first) (JJ weekly) (NN loss))))) (PP (IN in) (NP (CD three))) (, ,) (PP (IN down) (NP (CD 2) (NN %)))) (. .)))"
26,international,"Rather than holding U.S. Treasuries, China is turning its attention toward gold and emerging industries.",17,1,1,0.9412,0.9412,Treasuries:NNPS->NNP,1,-121.748,0.086,1,-121.748,"(TOP (S (PP (ADVP (RB Rather)) (IN than) (S (VBG holding) (NP (NNP U.S.) (NNP Treasuries)))) (, ,) (NP (NNP China)) (VP (VBZ is) (VP (VBG turning) (NP (PRP$ its) (NN attention)) (PP (IN toward) (NP (NN gold) (CC and) (VBG emerging) (NNS industries))))) (. .)))"
27,international,There was no immediate comment from Pakistan’s government.,10,1,1,1.0,1.0,,1,-55.639,0.013,1,-55.639,(TOP (S (NP (EX There)) (VP (VBD was) (NP (DT no) (JJ immediate) (NN comment)) (PP (IN from) (NP (NP (NNP Pakistan) (POS 's)) (NN government)))) (. .)))
28,international,The use of such accounts would be capped at one hour per day.,14,0,0,1.0,1.0,,1,-87.817,0.046,1,-87.817,(TOP (S (NP (NP (DT The) (NN use)) (PP (IN of) (NP (JJ such) (NNS accounts)))) (VP (MD would) (VP (VB be) (VP (VBN capped) (PP (IN at) (NP (NP (CD one) (NN hour)) (PP (IN per) (NP (NN day)))))))) (. .)))
29,international,A criminal investigation can survive an unanswered question for a time.,12,1,1,1.0,1.0,,1,-69.858,0.04,1,-69.858,(TOP (S (NP (DT A) (JJ criminal) (NN investigation)) (VP (MD can) (VP (VB survive) (NP (NP (DT an) (JJ unanswered) (NN question)) (PP (IN for) (NP (DT a) (NN time)))))) (. .)))
30,international,WTI touched its lowest since September 1 earlier on Wednesday.,11,1,1,0.8182,0.9091,earlier:RBR->JJR,1,-83.963,0.022,1,-85.203,(TOP (S (NP (NNP WTI)) (VP (VBD touched) (PP (NP (PRP$ its) (JJS lowest)) (IN since) (NP (NNP September))) (PP (ADVP (NP (CD 1)) (JJR earlier)) (IN on) (NP (NNP Wednesday)))) (. .)))
